what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1419932070251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932083138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932088465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932134733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932137869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932155110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1419932155126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1419932155126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932155391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932165298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932167843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932182328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932183779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932410436
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932419857
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932419935
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419932424372
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932424622
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932424684
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419932428007
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932428194
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932428257
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419932429443
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932429615
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932429693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932448648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932449849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932632664
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419932634977
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419932635148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932710157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419932925472
